区画,店名,業種
6,酒場 おか長,居酒屋
7,珈琲店スパニョラ,喫茶
11,うる寅商店,居酒屋
12,韓国料理 アリラン,その他
14,天ぷらとワイン大塩,和食
15,長屋オムライス 大阪駅前第3ビル店,洋食
16,キラメキノ未来,ラーメン
17-1,立ち飲み 庶民,立ち飲み
18,鉄板焼肉・ホルモン まきの,焼肉・ホルモン
19,立ち呑みのくち,立ち飲み
20,らぁ麺もう利,ラーメン
21-1,立呑み 焼きスパ ローマ軒,立ち飲み
21-2,イタリア食堂 cima,洋食
22-1,笑福,居酒屋
22-2,てんぷらや 夢二,和食
23-1,おでん ばる,居酒屋
23-2,和歌山由良港地魚直送 昭和丸,海鮮
23-3,鱗家厨房,居酒屋
24,ネスパ,居酒屋
26,大衆酒場 フレンチマン,居酒屋
29,焼売のジョー,中華
30,すし酒場 さしす,寿司
31,中華料理 金の華,中華
32,名物どてカツ どて煮込み 酒場おちょぼ,居酒屋
33,梅田くだん,居酒屋
34,かどや,居酒屋
35,ロイヤルエイト,居酒屋
36-1,天ぷらとワイン大塩,和食
36-2,元祖変わりかつ丼・親子丼専門店 祭太鼓,定食
37-1,ぶどう亭,居酒屋
37-2,うどん棒 大阪本店,そば・うどん
38,第3ビルタイガー,居酒屋
39,大衆酒場 スタンド マルカツ,居酒屋
40,居酒屋 にゆう・とうきよう,居酒屋
41,海鮮一番,海鮮
43-1,寿司屋 のだ,寿司
43-2,炭火焼鳥 鶏えん,焼鳥
45,炭火焼鳥 鶏えん,焼鳥
46,炭火焼鳥 鶏えん,焼鳥
47,チキンチキン,焼鳥
48,オハコミート,焼肉・ホルモン
52,サイゼリヤ,洋食
53,サイゼリヤ,洋食
58,サイゼリヤ,洋食
56-1,梅亭 中華居酒屋,中華
56-2,大分からあげと鉄板焼き 勝男B2応援団,居酒屋
59-2,カレーハウス CoCo壱番屋,カレー
61,イタリアン バール ガルゴッタ,バー
62,酒蔵 呑,居酒屋
63,酒蔵 呑,居酒屋
64-1,カレー百貨・居酒屋・カレー夢,カレー
68,RUDYS クラブデリシャス,バー
70,ステーキファイブと寿司六,洋食
71,中華料理 金明飯店,中華
72,徳田酒店 第3ビルB2店,立ち飲み
76,踊るうどん,そば・うどん
77,串焼きと鉄板一心,焼鳥
78,串カツ 天満 七福神,串カツ
80,キリンケラー ヤマト,バー
81,中国料理 遙華,中華
82,中国料理 遙華,中華
83,中国料理 遙華,中華
85,ターリー屋,カレー
87,琉球,居酒屋
89,喫茶サンシャイン,喫茶
90,ビストロバルH,バー
91,酒と宴H（昆布料理）,居酒屋
92,酒と宴H（昆布料理）,居酒屋
100-1,すし処大繁盛,寿司
101,梅田きのこ,居酒屋
