区画,店名,よみ,業種,タグ,予算,営業時間,定休日,電話,URL
401,さかふね,さかふね,和食,予約可|ランチあり,,11:30-22:30,,06-6456-7006,https://yamanaka-sake.jp/sakafune/
402,四川酒家 福龍,しせんしゅかふくりゅう,中華,予約可|ランチあり,,"11:30-15:00,17:00-22:30",月,06-6616-8559,https://tantanmen.com/
403,天ぷら大吉,てんぷらだいきち,居酒屋,ランチあり,,11:00-23:00,,06-6136-7719,
404,小さな韓国 あぷろ03,ちいさなかんこくあぷろぜろさん,その他,,,"12:00-15:00,17:00-23:00",,050-6865-8011,
405,仙台名物 牛たん炭火焼 𠮷次,せんだいめいぶつぎゅうたんすみびやきよしじ,焼肉・ホルモン,予約可|ランチあり,,11:00-23:00,,06-6485-8837,https://yoshiji.co.jp/
406,スタンドふじ,すたんどふじ,海鮮,,,12:00-23:00,,06-6690-8272,
407,和心だし巻き家 こんび,わごころだしまきやこんび,和食,予約可|ランチあり,,"11:30-15:00,17:00-22:30",,06-6476-8311,
408,夕霧そば 瓢亭,ゆうぎりそばひょうてい,そば・うどん,予約可|ランチあり,,"11:00-15:00,17:00-22:30",,06-6676-8938,http://www.hyoutei-soba.com/
410,有罪（YU-ZAI）,ゆうざい,ラーメン,ランチあり,,"11:00-15:00,17:00-22:00",,06-6225-8148,https://www.silver-grape.com/
411,大阪葱焼商店,おおさかねぎやきしょうてん,お好み焼き・粉もん,予約可,,"12:00-15:30,17:00-23:00",,06-6476-8999,
412,寿司赤酢 遊,すしあかずゆう,寿司,予約可|ランチあり,,"11:30-15:00,17:00-22:00",月,06-6454-2224,https://tabelog.com/osaka/A2701/A270101/27143836/
413,梅蘭,ばいらん,中華,予約可|個室あり|ランチあり,,"11:00-15:30,17:00-22:30",,06-6690-8245,https://bairan-tougen.jp/
414,沖縄酒場ハイサイ,おきなわさかばはいさい,その他,ランチあり,,"11:00-15:00,17:00-23:00",,06-6743-4321,https://sakaba-haisai-barchika03.com/
415,和ル一誠,わるいっせい,和食,予約可|ランチあり,,11:00-22:00,,06-6459-7337,
416,大衆イタリアン ブドウヤ,たいしゅういたりあんぶどうや,洋食,ランチあり,,11:00-22:30,,06-6485-8560,
417,サル食堂,さるしょくどう,洋食,ランチあり,,"10:50-15:00,17:00-22:30",日,06-6147-3656,https://saru-shokudo.com/
418,ひもの野郎,ひものやろう,居酒屋,予約可|ランチあり,,11:00-23:00,,080-4098-2511,https://himonoyaro.com/
419,フランダーステイル,ふらんだーすている,バー,予約可|ランチあり,,11:30-23:00,,06-6131-6777,https://flanderstale.com/barchica03/
420,餃子酒場 満太郎,ぎょうざさかばまんたろう,中華,予約可|ランチあり,,11:30-23:00,,06-6225-8857,https://gyoza-mantaro.com/
421,堂山食堂,どうやましょくどう,居酒屋,ランチあり,,11:00-23:00,,06-6690-8586,https://douyamasyokudou.amebaownd.com
