id,店名,ビル,階,区画,判定,業種,営業時間,定休日,予算,タグ,電話,公式サイト,別名,出典,確認日,メモ
b1-B2-ba19d5,屯食 喜酔,1,B2,01,採用,,11:30-23:30,,ランチ~1000/ディナー2000-3000,喫煙可|カード可,06-6450-8183,https://tonsya-kisui.com/,屯舎 喜酔,https://www.hotpepper.jp/strJ003762067/,2026-09-23,"ネット上の表記は「屯舎 喜酔」。平日の時間。土11:30-23:00/日祝11:30-22:00。検索要約により昼夜分割(11:30-15:00,17:00-24:00)とする版もあり要確認"
b1-B2-7e4801,大衆料理・居酒屋 御影郷 ふくじゅ,1,B2,02,採用,,16:00-23:00,日|祝,ディナー2000-3000,喫煙可|カード不可|予約可,06-6341-1138,,御影郷 福寿,https://www.1bld.com/shopguide/gourmet/10021/index.html,2026-09-23,土16:00-22:00。カウンター14席＋テーブル
b1-B2-623ff3,九州もん,1,B2,03,採用,,13:30-23:30,土,,喫煙可,,,,https://www.hotpepper.jp/strJ001131502/,2026-09-23,要約の表記が「月～金 日13:30～23:30／定休日 土」と崩れていたので要確認
b1-B2-fbafdf,鶏酒場 大阪梅田アイボリー,1,B2,04,採用,,15:00-23:00,日,,喫煙可|予約可,,https://umedaivory.owst.jp/,鶏酒場 大阪 梅田 アイボリー,https://www.hotpepper.jp/strJ003806667/,2026-09-23,予算は1人あたりの記載なし（コース4000円〜）
b1-B2-cf7ad7,立ち呑み処 まる,1,B2,05,採用,,16:00-23:00,日,ディナー~1500,喫煙可,,,立呑み処 まる,https://www.hotpepper.jp/strJ001285927/,2026-09-23,土は不定期営業、不定休あり
b1-B2-7199de,インド料理 ニルヴァーナ,1,B2,06,見送り,,,,,,,,,,2026-09-23,同名の他地域店（赤羽・尾頭橋・北新地）しか出てこない。第1ビルB2の店は見つからず
b1-B2-948bc0,大衆酒場 さんま,1,B2,12,一部,,,,,,,https://taisyusakaba-sanma.com/store-building/,大衆酒場さんま 大阪駅前第1ビル店,https://taisyusakaba-sanma.com/store-building/,2026-09-23,2026-07-29開店・11時開店・100席。閉店時刻と定休日は見つからず
b1-B2-b3b475,TEA ROOM 木馬,1,B2,19,採用,,9:00-22:00,,,禁煙,,https://www.instagram.com/kissa.mokuba/,キッサ モクバ|コーヒーハウス 木馬,https://mrs.living.jp/osaka/town_gourmet/reporter/5185594,2026-09-23,月〜木の時間。金土日祝は9:00-23:00。不定休。1980年創業
b1-B2-36bc39,さかなのくち スタンド酒場,1,B2,21,採用,,14:00-23:00,,,昼飲み,06-4400-4855,https://sakanano-kuchi.net/,さかなのくち,https://sakanano-kuchi.net/,2026-09-23,公式は「昼から飲める海鮮大衆酒場」。定休日の記載なし。ビール170円・チューハイ120円
b1-B2-ca5df2,炉ばた焼串料理 本安兵衛,1,B2,22,一部,,,,ランチ~1000/ディナー2000-3000,ランチあり,06-6344-4545,,本安兵衛|炉ばた焼季節料理 本安兵衛,https://www.hotpepper.jp/strJ000018263/,2026-09-23,"営業時間・定休日は見つからず。昼は定食約800円が10種ほど。夜の予算は口コミ平均2,200円"
b1-B2-bf2128,CRAFT BEER BASE BUD,1,B2,25,採用,,16:00-22:30,,,禁煙,06-6225-7807,https://craftbeerbase.com/shops/bud,,https://www.1bld.com/shopguide/gourmet/10902/index.html,2026-09-23,平日の時間。土日祝12:00-22:30。不定休。8タップ・テーブルチャージなし
b1-B2-bcca8d,ぶたのくち スタンド酒場,1,B2,26,一部,,,,,喫煙可|昼飲み,,https://butano-kuchi.net/,スタンド酒場 ぶたのくち,https://butano-kuchi.net/,2026-09-23,公式は「昼から飲める豚酒場」。営業時間・定休日は見つからず
b1-B2-448c7d,丸嘉酒店,1,B2,27,見送り,,,,,,,,,,2026-09-23,検索で見つからず
b1-B2-971d4b,ひもの野郎,1,B2,28,一部,,,,,ランチあり,080-7258-6611,https://himonoyarou-osaka1.foodre.jp/,ひもの野郎 大阪駅前第1ビル店,https://www.hotpepper.jp/strJ003498622/,2026-09-23,毎日11時開店（閉店時刻は見つからず）。休みは12/31〜1/3のみ。ひもの定食あり。お通し220円
b1-B2-771cc0,大衆酒場 スタンド ミルクホール,1,B2,28,採用,,12:30-23:00,日,ディナー1500~,喫煙可,06-6347-6844,,,https://retty.me/area/PRE27/ARE89/SUB8901/100001221353/,2026-09-23,開店は12:30と13:30で情報源に差。asayama.info はB1と表記（うちのデータはB2-28）。立ち28人・沖縄料理
b1-B2-cbb2dc,華神（カシン）,1,B2,28,採用,,"11:00-15:00,17:00-22:00",日|月,ランチ~1000,ランチあり|予約可,06-6476-8993,https://kashin-umeda.com/,華神,https://www.1bld.com/shopguide/gourmet/10915/index.html,2026-09-23,祝日は予約制。定食880円（ご飯・スープおかわり自由）
b1-B2-9ddb62,呑み処 シスターブラウン,1,B2,29,一部,,,,,,050-5485-6544,https://ke8n511.gorp.jp/,大阪梅田 シスターブラウン,https://ke8n511.gorp.jp/,2026-09-23,「呑処 大阪梅田ブラウン」(B2-32)の姉妹店。営業時間・定休日は見つからず
