区画,店名,よみ,業種,タグ,予算,営業時間,定休日,電話
003,壱岐島,,居酒屋,,,11:00-23:00,,06-6131-7511
005,大旦那,,立ち飲み,立ち飲み,,11:00-23:00,,06-4256-7798
001,角打ち 小野の離れ,,立ち飲み,立ち飲み|ランチあり,ランチ1500~/ディナー2500~,9:00-23:00,,06-6690-8385
013,川北商店,,焼鳥,,ディナー2500~,11:00-23:00,,06-6136-4994
017,串カツ・発酵おばんざい揚八,,串カツ,ランチあり|予約可,ランチ2000~/ディナー4000~,11:00-23:00,,06-6131-6700
015,GRACO Apéro Stand,,バー,ランチあり|予約可,ランチ2000~/ディナー4500~,11:00-23:00,,06-6530-0191
002,コロッセオ バル,ころっせおばる,バー,予約可,,11:00-23:00,,06-6690-8338
011,舎鈴,,ラーメン,ランチあり,ランチ1000~/ディナー1000~,7:30-23:00,,06-6690-8656
010,すし酒場さしす,,寿司,ランチあり,ランチ3000~/ディナー3000~,11:00-23:00,,06-6131-8275
009,仙台牛たん串 きぐし,,焼肉・ホルモン,ランチあり,ランチ2000~/ディナー4000~,11:00-23:00,,06-6136-3660
007,たこ焼き発祥の店 大阪玉出 会津屋,,お好み焼き・粉もん,ランチあり|テイクアウト,ランチ1000~/ディナー1000~,11:00-23:00,,06-6676-8783
016,中華バルサワダ,,中華,ランチあり,ランチ1500~/ディナー5000~,11:00-23:00,,06-6676-8186
012,ニカイノオアシス,にかいのおあしす,和食,,ディナー2500~,11:00-23:00,,06-6676-8939
014,肉と魚がうまい酒場ニューツルマツ,,居酒屋,ランチあり,ランチ800~/ディナー2500~,11:00-23:00,,06-4256-8838
008,BLARNEY IRISH PUB & CAFÉ,,バー,ランチあり|テイクアウト|予約可,ランチ1500~/ディナー2500~,11:00-23:00,,06-4256-6362
004,水炊きおでん ヤマニ,,居酒屋,,3000~,11:00-23:00,,06-6147-2322
006,Luv.Fish？大阪,,海鮮,,,11:00-23:00,,06-4256-8884
