区画,店名,よみ,業種,タグ,予算,営業時間,定休日,電話,URL
,宮崎酒場 ゑびす,,居酒屋,テイクアウト,,11:00-23:00,,06-6151-1540,
,梅田麹室 豊祝,,バー,,,11:00-23:00,,06-6151-1545,
,旧ヤム鐵道,,カレー,テイクアウト|一人OK,,11:00-21:00,,06-6151-1544,
,ハモネリア ベジョータ ギョクロ,,バー,テイクアウト|一人OK|昼飲み,,11:00-23:00,,06-6151-1542,
,フレンチおでん 「赤白」 コウハク,,洋食,一人OK|昼飲み,,11:00-23:00,,06-6341-5089,
,羽根つき焼小籠包 鼎's（Din's),,中華,テイクアウト|予約可|一人OK,,11:00-23:00,,06-6151-2649,http://www.food-buddies.co.jp
,お好み たまちゃん,,お好み焼き・粉もん,予約可|一人OK,,11:00-23:00,,06-4796-7670,
,本町製麺所 天,,そば・うどん,テイクアウト|一人OK,,11:00-23:00,,06-6341-0241,
,タイ国政府認定レストラン クンテープ,,その他,テイクアウト|予約可|一人OK|昼飲み,,11:00-23:00,,06-6151-2604,http://www.krungtep.co.jp
,銀座 篝,,ラーメン,テイクアウト,,11:00-23:00,,06-6151-2541,
,クラフトビアマーケット,,バー,立ち飲み|予約可|一人OK|昼飲み,,11:00-23:00,,06-6151-2534,http://www.craftbeermarket.jp
,魚屋スタンドふじ子,,海鮮,昼飲み,,11:00-23:00,,06-6151-2532,
,焼肉トラジ,,焼肉・ホルモン,テイクアウト|予約可|一人OK|昼飲み,,11:00-23:00,,06-6454-4329,http://www.ebisu-toraji.com
,創業明治23年 徳田酒店,,居酒屋,,,11:00-23:00,,06-6454-3222,
,韓国酒場 コッキオ,,その他,テイクアウト|予約可|一人OK|昼飲み,,11:00-23:00,,06-6151-2654,http://www.koti.co.jp
,炭火焼鳥 権兵衛,,焼鳥,テイクアウト|予約可|一人OK|昼飲み,,11:00-23:00,,06-6151-2240,http://www.gonbei.co.jp
,あべの たこやき やまちゃん,,お好み焼き・粉もん,テイクアウト|予約可,,11:00-23:00,,06-6151-2497,http://takoyaki-yamachan.net/
,やきにく 萬野,,焼肉・ホルモン,テイクアウト,,11:00-23:00,,06-4798-2929,http://www.mannoya.com
,松葉,,串カツ,立ち飲み|テイクアウト,,11:00-23:00,,06-6151-2229,http://meisei-matsuba.com/
,うなぎ 串焼き いづも,,和食,テイクアウト|予約可,,11:00-23:00,,06-6151-2531,
,となりのジャックとマチルダ,,立ち飲み,立ち飲み|テイクアウト,,11:00-23:00,,06-6151-1537,
,人類みな麺類Premium,,ラーメン,一人OK,,11:00-23:00,,06-6131-8840,https://www.unchi-co.com
,鮨ト酒 日々晴々,,寿司,予約可|一人OK|昼飲み,,11:00-23:00,,06-6151-1427,
,オステリア・ガウダンテ,,洋食,立ち飲み|一人OK|昼飲み,,11:00-23:00,,06-6676-8117,http://gaudente.jp/Lukua-Osaka/Lukua-Osaka-top.html
,もつ焼ウッチャン,,焼肉・ホルモン,立ち飲み|一人OK|昼飲み,,11:00-23:00,,06-6476-8426,https://www.kiwa-group.co.jp
,チャイニーズ ビストロ 蘭亭,,中華,立ち飲み|予約可|一人OK|昼飲み,,11:00-23:00,,06-6136-5177,https://chinese-bistro-rantei.com/
